Store Name,Phone Number,Email Address,Location,Owner Name,Employees Count
Stationery Supplies,+91-9876543200,contact1@store0.com,Solapur,Manish Reddy,4
Outdoor Gear,+91-9876543201,contact2@store1.com,Ahmedabad,Priya Singh,28
Luxury Living,+91-9876543202,contact3@store2.com,Bengaluru,Parth Shah,6
Hardware Hub,+91-9876543203,contact4@store3.com,Delhi,Sonal Agarwal,40
Book Bazaar,+91-9876543204,contact5@store4.com,Madurai,Vishal Shah,29
Gourmet Goods,+91-9876543205,contact6@store5.com,Surat,Seema Kaur,29
Sneaker Station,+91-9876543206,contact7@store6.com,Nashik,Deepa Rani,33
Vintage Vibes,+91-9876543207,contact8@store7.com,Jaipur,Gauri Dubey,18
Bag Boutique,+91-9876543208,contact9@store8.com,Raipur,Kiran Thakur,31
Crafty Corner,+91-9876543209,contact10@store9.com,Coimbatore,Shweta Nair,1
Plant Paradise,+91-9876543210,contact11@store10.com,Pune,Rajan Mehta,36
Party Supplies,+91-9876543211,contact12@store11.com,Srinagar,Anurag Tripathi,43
Electronics Hub,+91-9876543212,contact13@store12.com,Varanasi,Naveen Kumar,16
Plant Paradise,+91-9876543213,contact14@store13.com,Thane,Anurag Tripathi,50
Plant Paradise,+91-9876543214,contact15@store14.com,Raipur,Shweta Nair,11
Watch World,+91-9876543215,contact16@store15.com,Varanasi,Asha Iyer,48
Crafty Corner,+91-9876543216,contact17@store16.com,Vadodara,Neha Sinha,20
Gift Gallery,+91-9876543217,contact18@store17.com,Rajkot,Parth Shah,35
Baby Boutique,+91-9876543218,contact19@store18.com,Nagpur,Neha Sinha,36
Footwear Fashion,+91-9876543219,contact20@store19.com,Kanpur,Rohit Das,48
Bag Boutique,+91-9876543220,contact21@store20.com,Surat,Rohit Das,12
Eco Essentials,+91-9876543221,contact22@store21.com,Nashik,Smita Kapoor,21
Toy Town,+91-9876543222,contact23@store22.com,Bhopal,Rashmi Shetty,37
Auto Accessories,+91-9876543223,contact24@store23.com,Agra,Neha Sinha,34
Home Decor,+91-9876543224,contact25@store24.com,Rajkot,Arjun Kapoor,47
Hardware Hub,+91-9876543225,contact26@store25.com,Pimpri-Chinchwad,Kiran Thakur,43
Gadget World,+91-9876543226,contact27@store26.com,Mumbai,Nisha Gupta,9
Kitchen Needs,+91-9876543227,contact28@store27.com,Thane,Sonal Agarwal,9
Toy Town,+91-9876543228,contact29@store28.com,Pune,Anita Chatterjee,23
Music Mania,+91-9876543229,contact30@store29.com,Ranchi,Rahul Verma,42
Travel Treasures,+91-9876543230,contact31@store30.com,Ahmedabad,Snehal Deshmukh,25
Eco Essentials,+91-9876543231,contact32@store31.com,Mumbai,Deepa Rani,48
Beauty Bliss,+91-9876543232,contact33@store32.com,Aurangabad,Meera Kulkarni,14
Footwear Fashion,+91-9876543233,contact34@store33.com,Raipur,Smita Kapoor,47
Crafty Corner,+91-9876543234,contact35@store34.com,Mumbai,Vishal Shah,32
Perfume Place,+91-9876543235,contact36@store35.com,Patna,Neha Sinha,7
Luxury Living,+91-9876543236,contact37@store36.com,Vasai-Virar,Divya Menon,19
Fashion Forward,+91-9876543237,contact38@store37.com,Jodhpur,Deepa Rani,45
Tech Trends,+91-9876543238,contact39@store38.com,Ranchi,Ravi Joshi,32
Optics Oasis,+91-9876543239,contact40@store39.com,Ranchi,Meera Kulkarni,35
Art & Craft,+91-9876543240,contact41@store40.com,Raipur,Gauri Dubey,48
Perfume Place,+91-9876543241,contact42@store41.com,Vijayawada,Arjun Kapoor,27
Footwear Fashion,+91-9876543242,contact43@store42.com,Bhopal,Vishal Shah,24
Digital Market,+91-9876543243,contact44@store43.com,Srinagar,Kartik Roy,27
Gaming Gear,+91-9876543244,contact45@store44.com,Ranchi,Mohan Joshi,27
Hardware Hub,+91-9876543245,contact46@store45.com,Bengaluru,Sonal Agarwal,50
Toy Town,+91-9876543246,contact47@store46.com,Patna,Arjun Kapoor,8
Digital Market,+91-9876543247,contact48@store47.com,Solapur,Gauri Dubey,34
Healthy Living,+91-9876543248,contact49@store48.com,Agra,Deepa Rani,46
Style Corner,+91-9876543249,contact50@store49.com,Vasai-Virar,Seema Kaur,43
